SequÍncia;Data Fato;Hora Fato;Grupo Fato;Tipo Enquadramento;Tipo Fato;Municipio Fato;Local Fato;Bairro;Quantidade VÌtimas;Idade VÌtima;Sexo VÌtima;Cor VÌtima
39339;18/01/2024;21:00:00;CRIMES;ESTUPRO;Consumado;CACHOEIRINHA;RESIDENCIA;Parque Granja Esperanca;1;19;Feminino;Parda
40758;19/01/2024;14:00:00;CRIMES;ESTUPRO;Consumado;CANDIOTA;RESIDENCIA;lassance;1;15;Feminino;Branca
42970;20/01/2024;13:00:00;CRIMES;ESTUPRO;Consumado;PORTO ALEGRE;RESIDENCIA;Camaqu„;1;20;Feminino;Branca
43184;20/01/2024;15:00:00;CRIMES;ESTUPRO;Consumado;GENERAL CAMARA;RESIDENCIA;CENTRO;1;16;Feminino;Parda
43708;20/01/2024;20:00:00;CRIMES;ESTUPRO;Consumado;PORTO ALEGRE;RESIDENCIA;Floresta;1;46;Feminino;Preta
44016;20/01/2024;23:00:00;CRIMES;ESTUPRO;Consumado;CAPAO DA CANOA;RESIDENCIA;Zona Nova;1;16;Feminino;Branca
44087;21/01/2024;00:01:00;CRIMES;ESTUPRO;Consumado;PASSO FUNDO;RESIDENCIA;;1;75;Feminino;Branca
44816;21/01/2024;12:00:00;CRIMES;ESTUPRO;Consumado;GUAIBA;OUTROS;FlÛrida;1;16;Feminino;Branca
45164;21/01/2024;16:30:00;CRIMES;ESTUPRO;Consumado;LAJEADO;RESIDENCIA;;1;19;Masculino;Branca
45790;21/01/2024;22:00:00;CRIMES;ESTUPRO;Consumado;SAO GABRIEL;RESIDENCIA;;1;54;Feminino;Branca
50280;23/01/2024;20:00:00;CRIMES;ESTUPRO;Consumado;CAXIAS DO SUL;RESIDENCIA;S„o Luiz;1;36;Feminino;Branca
50651;24/01/2024;02:00:00;CRIMES;ESTUPRO;Consumado;RIO GRANDE;VIA PUBLICA;Parque Residencial Coelho;1;38;Feminino;Branca
51848;24/01/2024;15:00:00;CRIMES;ESTUPRO;Consumado;SANTANA DO LIVRAMENTO;RESIDENCIA;Simon Bolivar;1;15;Feminino;Parda
52863;25/01/2024;02:15:00;CRIMES;ESTUPRO;Consumado;PASSO FUNDO;VIA PUBLICA;Centro;1;49;Feminino;Branca
53950;25/01/2024;14:00:00;CRIMES;ESTUPRO;Consumado;URUGUAIANA;HOSPITAIS/CLINICAS;S„o Miguel;1;22;Feminino;Branca
54443;25/01/2024;17:00:00;CRIMES;ESTUPRO;Consumado;BARRACAO;OUTROS;Zona Rural;1;33;Feminino;Branca
55244;26/01/2024;02:00:00;CRIMES;ESTUPRO;Consumado;PELOTAS;RESIDENCIA;S„o GonÁalo;1;35;Feminino;Branca
59332;27/01/2024;22:00:00;CRIMES;ESTUPRO;Consumado;DOM PEDRITO;RESIDENCIA;Get˙lio Vargas;1;14;Feminino;Branca
59936;28/01/2024;08:00:00;CRIMES;ESTUPRO;Consumado;GRAMADO;ETABELECIMENTO ENSINO;Floresta;0;;;
59995;28/01/2024;09:30:00;CRIMES;ESTUPRO;Consumado;SALTO DO JACUI;OUTROS;;1;50;Feminino;Branca
61160;28/01/2024;21:00:00;CRIMES;ESTUPRO;Consumado;SANTA CRUZ DO SUL;RESIDENCIA;Goi·s;1;24;Feminino;Branca
61589;29/01/2024;03:00:00;CRIMES;ESTUPRO;Consumado;URUGUAIANA;ESTABELECIMENTO COMERCIAL;Vila Julia;1;27;Feminino;Branca
61671;29/01/2024;06:00:00;CRIMES;ESTUPRO;Consumado;PELOTAS;RESIDENCIA;;1;49;Feminino;Branca
61759;29/01/2024;08:00:00;CRIMES;ESTUPRO;Consumado;ENCRUZILHADA DO SUL;RESIDENCIA;;1;29;Feminino;Parda
61973;29/01/2024;09:30:00;CRIMES;ESTUPRO;Consumado;JULIO DE CASTILHOS;RESIDENCIA;Centro;1;55;Feminino;Branca
63352;29/01/2024;19:00:00;CRIMES;ESTUPRO;Consumado;ENCRUZILHADA DO SUL;RESIDENCIA;Lava PÈs;1;46;Feminino;Branca
63995;30/01/2024;04:40:00;CRIMES;ESTUPRO;Consumado;ALVORADA;RESIDENCIA;SumarÈ;1;42;Feminino;Branca
64521;30/01/2024;10:30:00;CRIMES;ESTUPRO;Consumado;ERECHIM;ESTABELECIMENTO COMERCIAL;;1;16;Feminino;Branca
65821;30/01/2024;20:40:00;CRIMES;ESTUPRO;Consumado;SAO BORJA;VIA PUBLICA;Leonel Brizola;1;29;Feminino;Branca
66563;31/01/2024;09:00:00;CRIMES;ESTUPRO;Consumado;ERNESTINA;RESIDENCIA;Interior;1;16;Feminino;Branca
67192;31/01/2024;13:00:00;CRIMES;ESTUPRO;Consumado;RIO PARDO;ESTABELECIMENTO COMERCIAL;;1;36;Feminino;Branca
68446;01/02/2024;00:01:00;CRIMES;ESTUPRO;Consumado;PORTO ALEGRE;VIA PUBLICA;;1;25;Feminino;Branca
68488;01/02/2024;00:30:00;CRIMES;ESTUPRO;Consumado;CANOAS;RESIDENCIA;Rio Branco;1;43;Feminino;Parda
68574;01/02/2024;02:00:00;CRIMES;ESTUPRO;Consumado;SANTANA DO LIVRAMENTO;HOSPITAIS/CLINICAS;Real;1;45;Feminino;Branca
68863;01/02/2024;08:00:00;CRIMES;ESTUPRO;Consumado;SAO PEDRO DO SUL;RESIDENCIA;;0;;;
68873;01/02/2024;08:00:00;CRIMES;ESTUPRO;Consumado;CHAPADA;RESIDENCIA;centro;1;31;Feminino;Branca
69487;01/02/2024;11:20:00;CRIMES;ESTUPRO;Consumado;SEBERI;OUTROS;Centro;1;27;Feminino;Branca
70159;01/02/2024;15:30:00;CRIMES;ESTUPRO;Consumado;CAXIAS DO SUL;OUTROS;Centro;1;15;Feminino;Branca
70340;01/02/2024;17:00:00;CRIMES;ESTUPRO;Consumado;PORTO ALEGRE;RESIDENCIA;FLORESTA;1;53;Feminino;Branca
70740;01/02/2024;20:00:00;CRIMES;ESTUPRO;Consumado;ROLANTE;RESIDENCIA;Grassmann;1;15;Feminino;Branca
71231;02/02/2024;02:00:00;CRIMES;ESTUPRO;Consumado;NAO-ME-TOQUE;RESIDENCIA;Boa Vista;1;69;Feminino;Branca
71484;02/02/2024;08:00:00;CRIMES;ESTUPRO;Consumado;NOVO HAMBURGO;RESIDENCIA;Santo Afonso;1;24;Feminino;Branca
73642;03/02/2024;02:00:00;CRIMES;ESTUPRO;Consumado;TENENTE PORTELA;OUTROS;Jardim Primavera;1;20;Masculino;Branca
73678;03/02/2024;03:00:00;CRIMES;ESTUPRO;Consumado;CANOAS;RESIDENCIA;Olaria;1;28;Feminino;Preta
73704;03/02/2024;03:20:00;CRIMES;ESTUPRO;Consumado;SARANDI;ESTABELECIMENTO COMERCIAL;;1;26;Feminino;Branca
74552;03/02/2024;14:30:00;CRIMES;ESTUPRO;Consumado;SAO PEDRO DO SUL;VIA PUBLICA;;1;15;Feminino;Branca
74921;03/02/2024;18:00:00;CRIMES;ESTUPRO;Consumado;GUAIBA;OUTROS;Santa Rita;1;37;Feminino;Branca
75179;03/02/2024;20:00:00;CRIMES;ESTUPRO;Consumado;CAXIAS DO SUL;RESIDENCIA;Charqueadas;1;60;Feminino;Branca
75371;03/02/2024;21:20:00;CRIMES;ESTUPRO;Consumado;SAO SEBASTIAO DO CAI;VIA PUBLICA;LOTEAMENTO POPULAR;1;39;Feminino;Branca
75722;04/02/2024;01:00:00;CRIMES;ESTUPRO;Consumado;PELOTAS;OUTROS;Areal;1;49;Feminino;Branca
75735;04/02/2024;01:00:00;CRIMES;ESTUPRO;Consumado;VIAMAO;RESIDENCIA;aguas claras;1;77;Feminino;Branca
75862;04/02/2024;03:00:00;CRIMES;ESTUPRO;Consumado;VERANOPOLIS;OUTROS;S„o Pelegrino;1;17;Feminino;Branca
75973;04/02/2024;05:00:00;CRIMES;ESTUPRO;Consumado;CANOAS;RESIDENCIA;Mathias Velho;1;26;Feminino;Parda
76426;04/02/2024;12:00:00;CRIMES;ESTUPRO;Consumado;PORTO ALEGRE;RESIDENCIA;Cristal;1;24;Feminino;Branca
76577;04/02/2024;14:00:00;CRIMES;ESTUPRO;Consumado;VIAMAO;VIA PUBLICA;ViamÛpolis;1;41;Feminino;Preta
76645;04/02/2024;14:50:00;CRIMES;ESTUPRO;Consumado;PORTO ALEGRE;VIA PUBLICA;Lomba do Pinheiro;1;16;Feminino;Branca
76850;04/02/2024;16:30:00;CRIMES;ESTUPRO;Consumado;PORTO ALEGRE;RESIDENCIA;Partenon;1;53;Masculino;Branca
77404;04/02/2024;21:00:00;CRIMES;ESTUPRO;Consumado;VIAMAO;RESIDENCIA;Vila Augusta;1;22;Feminino;Branca
77473;04/02/2024;21:35:00;CRIMES;ESTUPRO;Consumado;CRUZ ALTA;RESIDENCIA;PROXIMO NOTA 10;1;52;Feminino;Branca
77843;05/02/2024;05:30:00;CRIMES;ESTUPRO;Consumado;VIAMAO;OUTROS;S„o Lucas;2;40;Feminino;Preta
77852;05/02/2024;06:00:00;CRIMES;ESTUPRO;Consumado;PORTO ALEGRE;OUTROS;M·rio Quintana;1;11;Feminino;Branca
79896;05/02/2024;20:00:00;CRIMES;ESTUPRO;Consumado;PORTO ALEGRE;RESIDENCIA;Santa Rosa de Lima;1;16;Feminino;Sem informaÁ„o
81794;06/02/2024;16:00:00;CRIMES;ESTUPRO;Consumado;CANELA;RESIDENCIA;EugÍnio Ferreira;1;14;Feminino;Branca
82034;06/02/2024;18:00:00;CRIMES;ESTUPRO;Consumado;PORTO ALEGRE;VIA PUBLICA;Vila Joao Pessoa;1;17;Feminino;Branca
83682;07/02/2024;12:10:00;CRIMES;ESTUPRO;Consumado;PORTO ALEGRE;VIA PUBLICA;Lomba do Pinheiro;1;15;Feminino;Amarela
84402;07/02/2024;17:00:00;CRIMES;ESTUPRO;Consumado;PAROBE;RESIDENCIA;S„o JosÈ;1;15;Feminino;Branca
84568;07/02/2024;18:00:00;CRIMES;ESTUPRO;Consumado;ALEGRETE;RESIDENCIA;Vila Nova;1;19;Feminino;Sem informaÁ„o
84818;07/02/2024;20:00:00;CRIMES;ESTUPRO;Consumado;ESTEIO;ESTABELECIMENTO COMERCIAL;Liberdade;1;14;Feminino;Branca
86805;08/02/2024;17:00:00;CRIMES;ESTUPRO;Consumado;PORTO ALEGRE;RESIDENCIA;Parque Santa FÈ;1;36;Feminino;Branca
88661;09/02/2024;12:30:00;CRIMES;ESTUPRO;Consumado;PASSO FUNDO;RESIDENCIA;Integracao;1;14;Feminino;Branca
88954;09/02/2024;15:00:00;CRIMES;ESTUPRO;Consumado;CAXIAS DO SUL;VIA PUBLICA;Cristo Redentor;1;22;Feminino;Branca
90147;10/02/2024;01:00:00;CRIMES;ESTUPRO;Consumado;ANTONIO PRADO;RESIDENCIA;Interior;1;73;Feminino;Branca
90311;10/02/2024;03:00:00;CRIMES;ESTUPRO;Consumado;EUGENIO DE CASTRO;RESIDENCIA;;1;14;Feminino;Parda
90484;10/02/2024;06:40:00;CRIMES;ESTUPRO;Consumado;ALVORADA;RESIDENCIA;Maria Regina;1;42;Feminino;Branca
91019;10/02/2024;12:00:00;CRIMES;ESTUPRO;Consumado;PORTO ALEGRE;RESIDENCIA;Centro HistÛrico;1;24;Feminino;Parda
91237;10/02/2024;14:00:07;CRIMES;ESTUPRO;Consumado;ENCANTADO;OUTROS;Porto Quinze;1;29;Masculino;Sem informaÁ„o
91754;10/02/2024;18:35:00;CRIMES;ESTUPRO;Consumado;PORTO ALEGRE;VIA PUBLICA;Cascata;1;18;Feminino;Sem informaÁ„o
92240;10/02/2024;23:00:00;CRIMES;ESTUPRO;Consumado;BENTO GONCALVES;RESIDENCIA;Vila Nova;1;38;Feminino;Branca
93192;11/02/2024;13:00:00;CRIMES;ESTUPRO;Consumado;ALVORADA;OUTROS;Umbu;1;14;Feminino;Branca
93467;11/02/2024;16:20:00;CRIMES;ESTUPRO;Consumado;SAPUCAIA DO SUL;ESTABELECIMENTO DIVERSAO;Parque Primavera;2;15;Feminino;Branca
94034;11/02/2024;21:30:00;CRIMES;ESTUPRO;Consumado;CAXIAS DO SUL;RESIDENCIA;Cidade Nova;1;32;Feminino;Branca
94177;11/02/2024;23:00:00;CRIMES;ESTUPRO;Consumado;PORTO ALEGRE;RESIDENCIA;;1;19;Feminino;Branca
94453;12/02/2024;04:30:00;CRIMES;ESTUPRO;Consumado;PORTO ALEGRE;RESIDENCIA;Restinga;1;25;Feminino;Preta
95096;12/02/2024;12:30:00;CRIMES;ESTUPRO;Consumado;BENTO GONCALVES;ESTABELECIMENTO COMERCIAL;Botafogo;1;26;Feminino;Branca
95630;12/02/2024;18:00:00;CRIMES;ESTUPRO;Consumado;SAO LOURENCO DO SUL;RESIDENCIA;;1;28;Feminino;Branca
96139;12/02/2024;23:00:00;CRIMES;ESTUPRO;Consumado;SAO BORJA;OUTROS;Tiro;1;27;Feminino;Branca
96419;13/02/2024;03:00:00;CRIMES;ESTUPRO;Consumado;CAPAO DA CANOA;RESIDENCIA;Praia do Barco;1;18;Masculino;Branca
96537;13/02/2024;05:30:00;CRIMES;ESTUPRO;Consumado;SAO PEDRO DO SUL;RESIDENCIA;Riveira;1;16;Feminino;Branca
96567;13/02/2024;06:10:00;CRIMES;ESTUPRO;Consumado;SAO PEDRO DO SUL;OUTROS;;1;20;Feminino;Branca
97855;13/02/2024;23:00:00;CRIMES;ESTUPRO;Consumado;GRAVATAI;VIA PUBLICA;;1;48;Feminino;Branca
98254;14/02/2024;08:00:00;CRIMES;ESTUPRO;Consumado;ERECHIM;RESIDENCIA;S„o Cristovao;1;12;Masculino;Branca
98883;14/02/2024;13:30:00;CRIMES;ESTUPRO;Consumado;ALVORADA;RESIDENCIA;Formoza;2;50;Feminino;Branca
99423;14/02/2024;17:00:00;CRIMES;ESTUPRO;Consumado;TRAMANDAI;RESIDENCIA;TramandaÌ;1;74;Feminino;Branca
99797;14/02/2024;20:00:00;CRIMES;ESTUPRO;Consumado;CRISTAL;OUTROS;Centro;1;29;Feminino;Branca
99911;14/02/2024;21:00:00;CRIMES;ESTUPRO;Consumado;CAMPO BOM;OUTROS;A;1;14;Feminino;Branca
100280;15/02/2024;04:00:00;CRIMES;ESTUPRO;Consumado;PORTO ALEGRE;RESIDENCIA;Vila Nova;1;61;Feminino;Branca
101547;15/02/2024;15:00:00;CRIMES;ESTUPRO;Consumado;CIDREIRA;RESIDENCIA;CIDREIRA;1;60;Feminino;Branca
101861;15/02/2024;17:20:00;CRIMES;ESTUPRO;Consumado;BALNEARIO PINHAL;VIA PUBLICA;Balne·rio Pinhal;1;34;Feminino;Branca
102576;16/02/2024;01:30:00;CRIMES;ESTUPRO;Consumado;PAROBE;RESIDENCIA;palmeiras;1;38;Feminino;Branca
104937;17/02/2024;02:26:00;CRIMES;ESTUPRO;Consumado;PORTO ALEGRE;VIA PUBLICA;AZENHA;1;37;Feminino;Branca
105096;17/02/2024;06:30:00;CRIMES;ESTUPRO;Consumado;SAO BORJA;VIA PUBLICA;Tiro;1;36;Feminino;Branca
106939;18/02/2024;02:00:00;CRIMES;ESTUPRO;Consumado;PELOTAS;OUTROS;Padre Reus;1;19;Feminino;Parda
106973;18/02/2024;02:30:00;CRIMES;ESTUPRO;Consumado;JOIA;RESIDENCIA;JOIA;1;40;Feminino;Branca
108062;18/02/2024;18:00:00;CRIMES;ESTUPRO;Consumado;SANTA ROSA;ESTABELECIMENTO DIVERSAO;Cruzeiro;1;47;Feminino;Branca
109127;19/02/2024;08:00:00;CRIMES;ESTUPRO;Consumado;NOVO HAMBURGO;RESIDENCIA;Oper·rio;1;33;Feminino;Branca
109812;19/02/2024;12:00:00;CRIMES;ESTUPRO;Consumado;SANTA MARIA;RESIDENCIA;INTERIOR;2;45;Feminino;Branca
111066;19/02/2024;21:30:00;CRIMES;ESTUPRO;Consumado;TUPANCIRETA;VIA PUBLICA;;1;21;Masculino;Branca
111234;20/02/2024;00:15:00;CRIMES;ESTUPRO;Consumado;CAMAQUA;VIA PUBLICA;;1;15;Feminino;Branca
111296;20/02/2024;02:00:00;CRIMES;ESTUPRO;Consumado;PORTO ALEGRE;VIA PUBLICA;;1;39;Feminino;Branca
111390;20/02/2024;04:00:00;CRIMES;ESTUPRO;Consumado;CANOAS;RESIDENCIA;Est‚ncia Velha;1;50;Feminino;Branca
111590;20/02/2024;08:00:00;CRIMES;ESTUPRO;Consumado;PORTO ALEGRE;RESIDENCIA;Passo das Pedras;1;41;Feminino;Branca
111893;20/02/2024;10:00:00;CRIMES;ESTUPRO;Consumado;NOVO HAMBURGO;RESIDENCIA;Santo Afonso;2;35;Feminino;Branca
112901;20/02/2024;16:20:00;CRIMES;ESTUPRO;Consumado;PASSO FUNDO;OUTROS;Vila Popular;1;21;Feminino;Branca
114707;21/02/2024;12:00:00;CRIMES;ESTUPRO;Consumado;VERA CRUZ;RESIDENCIA;Centro;1;67;Feminino;Branca
114714;21/02/2024;12:00:00;CRIMES;ESTUPRO;Consumado;VIAMAO;RESIDENCIA;Santa Isabel;1;30;Feminino;Preta
115309;21/02/2024;16:00:00;CRIMES;ESTUPRO;Consumado;HERVAL;RESIDENCIA;;1;22;Feminino;Parda
117249;22/02/2024;13:00:00;CRIMES;ESTUPRO;Consumado;GUAIBA;OUTROS;;1;16;Feminino;Branca
117570;22/02/2024;15:00:00;CRIMES;ESTUPRO;Consumado;SAO PEDRO DO SUL;ETABELECIMENTO ENSINO;;1;16;Feminino;Branca
117616;22/02/2024;15:10:00;CRIMES;ESTUPRO;Consumado;IJUI;HOSPITAIS/CLINICAS;Centro;1;20;Feminino;Branca
118740;23/02/2024;02:00:00;CRIMES;ESTUPRO;Consumado;RIO GRANDE;OUTROS;Senandes;1;34;Feminino;Preta
121241;24/02/2024;02:00:00;CRIMES;ESTUPRO;Consumado;VALE DO SOL;RESIDENCIA;;1;17;Feminino;Branca
121334;24/02/2024;03:00:00;CRIMES;ESTUPRO;Consumado;TAQUARA;RESIDENCIA;Morro da Cruz;1;51;Feminino;Branca
121685;24/02/2024;09:30:00;CRIMES;ESTUPRO;Consumado;PELOTAS;RESIDENCIA;Centro;1;36;Feminino;Branca
121716;24/02/2024;10:00:00;CRIMES;ESTUPRO;Consumado;VACARIA;OUTROS;Refigiado;1;22;Feminino;IndÌgena
122109;24/02/2024;14:00:00;CRIMES;ESTUPRO;Consumado;RIO GRANDE;RESIDENCIA;Parque Residencial Sao Pedro II;1;40;Feminino;Branca
122252;24/02/2024;15:30:00;CRIMES;ESTUPRO;Consumado;CARAZINHO;VIA PUBLICA;Centro;1;40;Feminino;Branca
122259;24/02/2024;15:30:00;CRIMES;ESTUPRO;Consumado;SAO VENDELINO;RESIDENCIA;interior;1;34;Feminino;Branca
